datetime,severity,event_type,message,details
2026-04-26T11:12:01.204472,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:13:01.275405,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:13:01.295724,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:13:01.313005,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:14:01.385960,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:14:01.404560,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:14:01.423354,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:15:01.493530,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:15:01.513069,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:15:01.533209,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:16:01.596158,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:16:01.615050,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:16:01.633372,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:17:01.699274,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:17:01.719137,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:17:01.736338,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:18:01.813726,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:18:01.834023,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
