Date,Open,High,Low,Close,Adj Close,Volume
2018-11-06,142.779999,142.779999,142.779999,142.779999,142.779999,0
2018-11-07,145.261993,145.261993,145.261993,145.261993,145.261993,0
2018-11-08,145.498001,145.498001,145.498001,145.498001,145.498001,0
2018-11-09,145.164993,145.164993,145.164993,145.164993,145.164993,0
2018-11-12,145.884003,145.884003,145.884003,145.884003,145.884003,0
2018-11-13,145.123993,145.123993,145.123993,145.123993,145.123993,0
2018-11-14,145.516006,145.516006,145.516006,145.516006,145.516006,0
2018-11-15,144.373001,144.373001,144.373001,144.373001,144.373001,0
2018-11-16,144.541000,144.541000,144.541000,144.541000,144.541000,0
2018-11-19,144.244003,144.244003,144.244003,144.244003,144.244003,0
2018-11-20,142.703995,142.703995,142.703995,142.703995,142.703995,0
2018-11-21,141.584000,141.584000,141.584000,141.584000,141.584000,0
2018-11-22,141.664993,141.664993,141.664993,141.664993,141.664993,0
2018-11-23,141.834000,141.834000,141.834000,141.834000,141.834000,0
2018-11-26,141.824997,141.824997,141.824997,141.824997,141.824997,0
2018-11-27,141.807999,141.807999,141.807999,141.807999,141.807999,0
2018-11-28,142.093002,142.093002,142.093002,142.093002,142.093002,0
2018-11-29,142.832001,142.832001,142.832001,142.832001,142.832001,0
2018-11-30,143.569000,143.569000,143.569000,143.569000,143.569000,0
2018-12-03,143.710999,143.710999,143.710999,143.710999,143.710999,0
2018-12-04,143.421997,143.421997,143.421997,143.421997,143.421997,0
2018-12-05,143.175003,143.175003,143.175003,143.175003,143.175003,0
2018-12-06,142.057999,142.057999,142.057999,142.057999,142.057999,0
2018-12-07,141.300995,141.300995,141.300995,141.300995,141.300995,0
2018-12-10,141.069000,141.069000,141.069000,141.069000,141.069000,0
2018-12-11,140.589005,140.589005,140.589005,140.589005,140.589005,0
2018-12-12,140.625000,140.625000,140.625000,140.625000,140.625000,0
2018-12-13,141.335007,141.335007,141.335007,141.335007,141.335007,0
2018-12-14,141.871002,141.871002,141.871002,141.871002,141.871002,0
2018-12-17,143.968994,143.968994,143.968994,143.968994,143.968994,0
2018-12-18,141.643997,141.643997,141.643997,141.643997,141.643997,0
2018-12-19,144.427994,144.427994,144.427994,144.427994,144.427994,0
2018-12-20,144.488998,144.488998,144.488998,144.488998,144.488998,0
2018-12-21,143.996994,143.996994,143.996994,143.996994,143.996994,0
2018-12-24,143.901001,143.901001,143.901001,143.901001,143.901001,0
2018-12-27,143.649994,143.649994,143.649994,143.649994,143.649994,0
2018-12-28,143.233994,143.233994,143.233994,143.233994,143.233994,0
2018-12-31,143.623001,143.623001,143.623001,143.623001,143.623001,0
2019-01-02,143.358002,143.358002,143.358002,143.358002,143.358002,0
2019-01-03,143.811996,143.811996,143.811996,143.811996,143.811996,0
2019-01-04,143.287994,143.287994,143.287994,143.287994,143.287994,0
2019-01-07,141.529007,141.529007,141.529007,141.529007,141.529007,0
2019-01-08,140.550995,140.550995,140.550995,140.550995,140.550995,0
2019-01-09,140.570999,140.570999,140.570999,140.570999,140.570999,0
2019-01-10,141.375000,141.375000,141.375000,141.375000,141.375000,0
2019-01-11,140.813004,140.813004,140.813004,140.813004,140.813004,0
2019-01-14,139.576004,139.576004,139.576004,139.576004,139.576004,0
2019-01-15,139.300003,139.300003,139.300003,139.300003,139.300003,0
2019-01-16,139.231995,139.231995,139.231995,139.231995,139.231995,0
2019-01-17,139.285004,139.285004,139.285004,139.285004,139.285004,0
2019-01-18,139.485992,139.485992,139.485992,139.485992,139.485992,0
2019-01-21,140.834000,140.834000,140.834000,140.834000,140.834000,0
2019-01-22,139.477005,139.477005,139.477005,139.477005,139.477005,0
2019-01-23,139.610992,139.610992,139.610992,139.610992,139.610992,0
2019-01-24,138.791000,138.791000,138.791000,138.791000,138.791000,0
2019-01-25,139.675003,139.675003,139.675003,139.675003,139.675003,0
2019-01-28,139.276001,139.276001,139.276001,139.276001,139.276001,0
2019-01-29,139.289001,139.289001,139.289001,139.289001,139.289001,0
2019-01-30,139.514008,139.514008,139.514008,139.514008,139.514008,0
2019-01-31,139.847000,139.847000,139.847000,139.847000,139.847000,0
2019-02-01,139.145996,139.145996,139.145996,139.145996,139.145996,0
2019-02-04,138.501999,138.501999,138.501999,138.501999,138.501999,0
2019-02-05,139.641998,139.641998,139.641998,139.641998,139.641998,0
2019-02-06,141.330002,141.330002,141.330002,141.330002,141.330002,0
2019-02-07,139.718994,139.718994,139.718994,139.718994,139.718994,0
2019-02-08,138.001999,138.001999,138.001999,138.001999,138.001999,0
2019-02-11,138.927994,138.927994,138.927994,138.927994,138.927994,0
2019-02-12,139.389008,139.389008,139.389008,139.389008,139.389008,0
2019-02-13,140.050995,140.050995,140.050995,140.050995,140.050995,0
2019-02-14,139.945999,139.945999,139.945999,139.945999,139.945999,0
2019-02-15,140.253998,140.253998,140.253998,140.253998,140.253998,0
2019-02-18,139.233002,139.233002,139.233002,139.233002,139.233002,0
2019-02-19,138.880005,138.880005,138.880005,138.880005,138.880005,0
2019-02-20,138.434998,138.434998,138.434998,138.434998,138.434998,0
2019-02-21,138.839005,138.839005,138.839005,138.839005,138.839005,0
2019-02-22,140.770996,140.770996,140.770996,140.770996,140.770996,0
2019-02-25,140.169998,140.169998,140.169998,140.169998,140.169998,0
2019-02-26,140.210007,140.210007,140.210007,140.210007,140.210007,0
2019-02-27,139.350998,139.350998,139.350998,139.350998,139.350998,0
2019-02-28,139.369995,139.369995,139.369995,139.369995,139.369995,0
2019-03-01,139.479004,139.479004,139.479004,139.479004,139.479004,0
2019-03-04,139.233002,139.233002,139.233002,139.233002,139.233002,0
2019-03-05,138.365005,138.365005,138.365005,138.365005,138.365005,0
2019-03-06,139.466995,139.466995,139.466995,139.466995,139.466995,0
2019-03-07,138.451004,138.451004,138.451004,138.451004,138.451004,0
2019-03-08,137.570007,137.570007,137.570007,137.570007,137.570007,0
2019-03-11,137.434998,137.434998,137.434998,137.434998,137.434998,0
2019-03-12,139.044006,139.044006,139.044006,139.044006,139.044006,0
2019-03-13,139.610001,139.610001,139.610001,139.610001,139.610001,0
2019-03-14,139.880005,139.880005,139.880005,139.880005,139.880005,0
2019-03-15,140.591003,140.591003,140.591003,140.591003,140.591003,0
2019-03-18,140.735992,140.735992,140.735992,140.735992,140.735992,0
2019-03-19,141.554001,141.554001,141.554001,141.554001,141.554001,0
2019-03-20,141.315002,141.315002,141.315002,141.315002,141.315002,0
2019-03-21,141.841003,141.841003,141.841003,141.841003,141.841003,0
2019-03-22,142.173996,142.173996,142.173996,142.173996,142.173996,0
2019-03-25,140.612000,140.612000,140.612000,140.612000,140.612000,0
2019-03-26,142.188004,142.188004,142.188004,142.188004,142.188004,0
2019-03-27,141.925995,141.925995,141.925995,141.925995,141.925995,0
2019-03-28,141.190994,141.190994,141.190994,141.190994,141.190994,0
2019-03-29,141.882996,141.882996,141.882996,141.882996,141.882996,0
2019-04-01,142.233002,142.233002,142.233002,142.233002,142.233002,0
2019-04-02,142.903000,142.903000,142.903000,142.903000,142.903000,0
2019-04-03,142.817001,142.817001,142.817001,142.817001,142.817001,0
2019-04-04,142.084000,142.084000,142.084000,142.084000,142.084000,0
2019-04-05,142.248001,142.248001,142.248001,142.248001,142.248001,0
2019-04-08,142.811005,142.811005,142.811005,142.811005,142.811005,0
2019-04-09,143.380997,143.380997,143.380997,143.380997,143.380997,0
2019-04-10,142.395004,142.395004,142.395004,142.395004,142.395004,0
2019-04-11,142.929001,142.929001,142.929001,142.929001,142.929001,0
2019-04-12,143.169998,143.169998,143.169998,143.169998,143.169998,0
2019-04-15,143.886002,143.886002,143.886002,143.886002,143.886002,0
2019-04-16,144.143997,144.143997,144.143997,144.143997,144.143997,0
2019-04-17,144.735992,144.735992,144.735992,144.735992,144.735992,0
2019-04-18,145.973007,145.973007,145.973007,145.973007,145.973007,0
2019-04-23,144.962997,144.962997,144.962997,144.962997,144.962997,0
2019-04-24,146.035004,146.035004,146.035004,146.035004,146.035004,0
2019-04-25,146.966003,146.966003,146.966003,146.966003,146.966003,0
2019-04-26,146.181000,146.181000,146.181000,146.181000,146.181000,0
2019-04-29,145.854996,145.854996,145.854996,145.854996,145.854996,0
2019-04-30,145.613007,145.613007,145.613007,145.613007,145.613007,0
2019-05-01,146.128998,146.128998,146.128998,146.128998,146.128998,0
2019-05-02,145.854996,145.854996,145.854996,145.854996,145.854996,0
2019-05-03,145.533997,145.533997,145.533997,145.533997,145.533997,0
2019-05-07,147.145996,147.145996,147.145996,147.145996,147.145996,0
2019-05-08,147.307999,147.307999,147.307999,147.307999,147.307999,0
2019-05-09,147.975998,147.975998,147.975998,147.975998,147.975998,0
2019-05-10,147.615997,147.615997,147.615997,147.615997,147.615997,0
2019-05-13,147.722000,147.722000,147.722000,147.722000,147.722000,0
2019-05-14,147.557999,147.557999,147.557999,147.557999,147.557999,0
2019-05-15,148.936005,148.936005,148.936005,148.936005,148.936005,0
2019-05-16,152.397995,152.397995,152.397995,152.397995,152.397995,0
2019-05-17,152.404007,152.404007,152.404007,152.404007,152.404007,0
2019-05-20,152.132004,152.132004,152.132004,152.132004,152.132004,0
2019-05-21,153.421997,153.421997,153.421997,153.421997,153.421997,0
2019-05-22,152.410995,152.410995,152.410995,152.410995,152.410995,0
2019-05-23,153.212006,153.212006,153.212006,153.212006,153.212006,0
2019-05-24,153.845993,153.845993,153.845993,153.845993,153.845993,0
2019-05-28,154.074005,154.074005,154.074005,154.074005,154.074005,0
2019-05-29,154.056000,154.056000,154.056000,154.056000,154.056000,0
2019-05-30,152.563004,152.563004,152.563004,152.563004,152.563004,0
2019-05-31,153.100998,153.100998,153.100998,153.100998,153.100998,0
2019-06-03,155.270996,155.270996,155.270996,155.270996,155.270996,0
